id,composerkey,title,genre,form,performer,pageurl,mediaurl
1953,MOZARTWOLFGANGAMADEU,?,classical,30,Philadelphia Symphony Orchestra,https://archive.org/details/VrsAcoustics-74609-PhiladelphiaSymphonyOrchestra,https://archive.org/download/VrsAcoustics-74609-PhiladelphiaSymphonyOrchestra/PhilSymph_74609_64kb.mp3
1968,MOZARTWOLFGANGAMADEU,?,classical,30,Flonzaley Quartet,https://archive.org/details/VrsAcoustics-74652-FlonzaleyQuartet,https://archive.org/download/VrsAcoustics-74652-FlonzaleyQuartet/FlonzaleyQuartet_74652_64kb.mp3
6051,MOZARTWOLFGANGAMADEU,"Quartet in G, 1st movement- part 1",classical,30,,https://archive.org/details/EDIS-SRP-0199-04,https://archive.org/download/EDIS-SRP-0199-04/EDIS-SRP-0199-04.mp3
2146,MUSSORGSKYMUSORGSKYE,?,classical,30,Feodor Chaliapin,https://archive.org/details/VrsAcoustics-88659-FeodorChaliapin,https://archive.org/download/VrsAcoustics-88659-FeodorChaliapin/Chaliapin_88659_64kb.mp3
2136,MUSSORGSKYMUSORGSKYE,?,classical,30,Feodor Chaliapin,https://archive.org/details/VrsAcoustics-88644-FeodorChaliapin,https://archive.org/download/VrsAcoustics-88644-FeodorChaliapin/Chaliapin_88644_64kb.mp3
161,NIELSENCARL,?,classical,30,Alice Nielsen & Florencio Constantino,https://archive.org/details/VrsAcoustics-74064-AliceNielsenFlorencioConstantino,https://archive.org/download/VrsAcoustics-74064-AliceNielsenFlorencioConstantino/Nielsen-Constantino_74064_64kb.mp3
1836,NIELSENCARL,?,classical,30,Alice Nielsen,https://archive.org/details/VrsAcoustics-74107-AliceNielsen,https://archive.org/download/VrsAcoustics-74107-AliceNielsen/Nielsen_74107_64kb.mp3
265,NIELSENCARL,?,classical,30,Alice Nielsen,https://archive.org/details/VrsAcoustics-74107-AliceNielsen_435,https://archive.org/download/VrsAcoustics-74107-AliceNielsen_435/Nielsen_74107_64kb.mp3
263,NIELSENCARL,?,classical,30,Alice Nielsen & Florencio Constantino,https://archive.org/details/VrsAcoustics-74076-AliceNielsenFlorencioConstantino,https://archive.org/download/VrsAcoustics-74076-AliceNielsenFlorencioConstantino/Nielsen-Constantino_74076_64kb.mp3
266,NIELSENCARL,?,classical,30,Alice Nielsen,https://archive.org/details/VrsAcoustics-74121-AliceNielsen,https://archive.org/download/VrsAcoustics-74121-AliceNielsen/Nielsen_74121_64kb.mp3
